coordinate_system,coordinate_a,coordinate_b,name
icrs, 05 34 31,  22 00 53, Crab
icrs, 05 35 17,  -5 23 24, Orion
icrs, 05 44 33,  -0 58 47, S8
icrs, 23 23 28,  59 00 28, Cass
icrs, 17 46 04, -28 51 08, SgrA
icrs, 06 31 51,  04 54 47, Rosett
icrs, 18 20 23, -16 16 37, M17
icrs, 20 28 47,  41 10 03, CygEMN
icrs, 21 13 44,  48 12 27, G90
icrs, 05 43 11,  29 01 20, G180
icrs, 12 50 26,  27 43 41, GNpole
icrs, 00 41 44,  40 46 27, Androm
icrs, 05 17 08,  18 47 13, AC1
icrs, 03 32 47,  54 10 07, PULSAR
icrs, 08 31 41, -45 10 13, PS
galactic,10,1,RC_CLOUD
galactic,00,0,G00
galactic,10,0,G10
galactic,20,0,G20
galactic,30,0,G30
galactic,40,0,G40
galactic,50,0,G50
galactic,60,0,G60
galactic,70,0,G70
galactic,80,0,G80
galactic,90,0,G90
galactic,100,0,G100
galactic,110,0,G110
galactic,120,0,G120
galactic,130,0,G130
galactic,140,0,G140
galactic,150,0,G150
galactic,160,0,G160
galactic,170,0,G170
galactic,180,0,G180
galactic,190,0,G190
galactic,200,0,G200
galactic,210,0,G210
galactic,220,0,G220
galactic,230,0,G230
galactic,240,0,G240
galactic,250,0,G250
galactic,260,0,G260
galactic,270,0,G270
galactic,280,0,G280
galactic,290,0,G290
galactic,300,0,G300
galactic,310,0,G310
galactic,320,0,G320
galactic,330,0,G330
galactic,340,0,G340
galactic,350,0,G350
